cityName,country,lat,lng,temp,humidity,cloudiness,winds
upernavik,gl,72.79,-56.15,32.33,100,80,10.98
mataura,pf,-46.19,168.86,51.5,63,56,21.72
alexandria,eg,31.31,-92.44,85.96,67,75,4.7
bara,sd,10.41,10.6,78.32,78,56,5.95
kapaa,us,22.08,-159.32,75.31,79,75,9.17
mecca,sa,21.43,39.83,82.73,50,8,4.27
cape town,za,-33.93,18.42,64.4,63,0,18.34
hermanus,za,-34.42,19.24,58.25,57,0,8.41
krymsk,ru,44.93,37.99,66.2,93,75,11.18
mount isa,au,-20.73,139.49,66.2,42,76,4.7
hami,cn,42.84,93.51,48.89,41,24,4.61
lowicz,pl,52.11,19.95,47.34,87,75,11.41
qaanaaq,gl,77.48,-69.36,18.56,100,0,11.54
north auburn,us,47.34,-122.23,44.42,100,1,3.15
zhumadian,cn,33.01,114.02,51.59,69,0,2.71
torbay,ca,47.66,-52.73,48.2,57,75,9.17
bonthe,sl,7.53,-12.5,80.57,87,56,4.16
hoyanger,no,61.22,6.07,42.8,80,75,8.05
ribeira grande,pt,38.52,-28.7,75.2,73,20,4.7
san patricio,mx,-26.98,-56.83,69.95,88,68,5.39
kaitangata,nz,-46.28,169.85,44.75,62,36,10.98
bluff,nz,-23.58,149.07,55.1,88,0,5.61
gisborne,nz,-38.66,178.02,42.77,80,20,4.61
esperance,au,10.24,-61.45,87.8,70,40,12.75
arona,es,45.76,8.56,69.8,46,0,3.36
puerto ayora,ec,-0.74,-90.35,77.0,65,40,9.17
nizhniy kuranakh,ru,58.84,125.49,39.17,94,92,2.04
bratsk,ru,56.15,101.63,30.2,74,8,8.95
yara,cu,20.27,-76.95,87.14,86,8,4.72
havoysund,no,71.0,24.66,38.43,100,75,16.11
gazanjyk,tm,39.24,55.52,68.24,54,8,3.94
brae,gb,60.4,-1.35,47.28,81,75,9.17
busselton,au,-33.64,115.35,60.05,100,92,25.19
cockburn town,tc,21.46,-71.14,82.19,100,76,9.98
jvari,ge,42.72,42.05,69.8,88,0,9.17
yellowknife,ca,62.45,-114.38,23.0,67,75,6.93
meulaboh,id,4.14,96.13,76.43,100,92,1.14
